conditions,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,introtext.started,space.started,space.keys,space.rt,stimulus_text.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,6.432579457999964,6.432579457999964,space,1.1482643339995775,,,,,,,,,271263,001,2023-04-18_16h58.12.684,crux_code,2022.2.5,59.995740302524304,
feet,0,0,0,0,,,,,7.629377958000077,0.011973458000284154,[-0.17782426778242677],[0.043933054393305436],[1],[0],[0],[4.154359209000177],271263,001,2023-04-18_16h58.12.684,crux_code,2022.2.5,59.995740302524304,
head,0,1,1,4,,,,,11.783721042000252,0.0029526249991249642,[-0.17782426778242677],[0.043933054393305436],[1],[0],[0],[0.4621359170005235],271263,001,2023-04-18_16h58.12.684,crux_code,2022.2.5,59.995740302524304,
left arm,0,2,2,1,,,,,12.249779833000503,0.005414707999989332,[-0.17782426778242677],[0.043933054393305436],[1],[0],[0],[0.30901437500051543],271263,001,2023-04-18_16h58.12.684,crux_code,2022.2.5,59.995740302524304,
eyes,0,3,3,3,,,,,12.566866208000647,0.002756666999630397,[-0.17782426778242677],[0.043933054393305436],[1],[0],[0],[0.1797550000001138],271263,001,2023-04-18_16h58.12.684,crux_code,2022.2.5,59.995740302524304,
right arm,0,4,4,2,,,,,12.749864000000343,0.0033454579997851397,[-0.17782426778242677],[0.043933054393305436],[1],[0],[0],[0.14523837500019],271263,001,2023-04-18_16h58.12.684,crux_code,2022.2.5,59.995740302524304,
eyes,1,0,5,3,,,,,12.900113458000305,0.0021682500000679283,[-0.17782426778242677],[0.043933054393305436],[1],[0],[0],[0.16459849999955622],271263,001,2023-04-18_16h58.12.684,crux_code,2022.2.5,59.995740302524304,
left arm,1,1,6,1,,,,,13.066669583000476,0.0032922919999691658,[-0.17782426778242677],[0.043933054393305436],[1],[0],[0],[0.1453927089996796],271263,001,2023-04-18_16h58.12.684,crux_code,2022.2.5,59.995740302524304,
feet,1,2,7,0,,,,,13.216551000000436,0.0026685420007197536,[-0.17782426778242677],[0.043933054393305436],[1],[0],[0],[0.14579574999970646],271263,001,2023-04-18_16h58.12.684,crux_code,2022.2.5,59.995740302524304,
right arm,1,3,8,2,,,,,13.366488417000255,0.0038890420000825543,[-0.17782426778242677],[0.043933054393305436],[1],[0],[0],[0.14492608300042775],271263,001,2023-04-18_16h58.12.684,crux_code,2022.2.5,59.995740302524304,
head,1,4,9,4,,,,,13.517139708000286,0.002254500000162807,[-0.17782426778242677],[0.043933054393305436],[1],[0],[0],[0.14699729200037837],271263,001,2023-04-18_16h58.12.684,crux_code,2022.2.5,59.995740302524304,
head,2,0,10,4,,,,,13.666651500000626,0.00038291700002446305,[-0.17782426778242677],[0.043933054393305436],[1],[0],[0],[0.14823229200010246],271263,001,2023-04-18_16h58.12.684,crux_code,2022.2.5,59.995740302524304,
feet,2,1,11,0,,,,,13.817079833000207,0.0026088750000781147,[-0.17782426778242677],[0.043933054393305436],[1],[0],[0],[0.1301061670001218],271263,001,2023-04-18_16h58.12.684,crux_code,2022.2.5,59.995740302524304,
left arm,2,2,12,1,,,,,13.949730875000569,0.002958833000775485,[-0.17782426778242677],[0.043933054393305436],[1],[0],[0],[0.1459296250004627],271263,001,2023-04-18_16h58.12.684,crux_code,2022.2.5,59.995740302524304,
eyes,2,3,13,3,,,,,14.100189833000513,0.002470792000167421,[-0.17782426778242677],[0.043933054393305436],[1],[0],[0],[0.12964983300025779],271263,001,2023-04-18_16h58.12.684,crux_code,2022.2.5,59.995740302524304,
right arm,2,4,14,2,,,,,14.233273124999869,0.00323724999998376,[-0.17782426778242677],[0.043933054393305436],[1],[0],[0],[0.1623940829995263],271263,001,2023-04-18_16h58.12.684,crux_code,2022.2.5,59.995740302524304,
,,,,,,,,,14.401065583000673,0.0025129579998974805,,,,,,,,,,,,,
